date,name,favorite,breakfast,prepare,body,happy,,,,
9-27-2014_12:25:43,louie,i am a kid,cerele,that is stopip,,right now,,,,
9-27-2014_12:28:25,ella andkiera,my mom,bagle,toast it  ,eyes,swam,,,,
9-27-2014_12:30:52,kyungjin Jo,dancing to the music,soup,boil,eyes,traveling to boston,,,,
9-27-2014_12:33:52,ermes,deers,butter,with pancakes,,,,,,
9-27-2014_12:37:44,maggie,play,ceareal,milk and cereal,legs,go to a park,,,,
9-27-2014_12:41:28,emily,my family,bagel and nutella,grab bagel and nutella and spread nutella on the bagel,brain,go to a water park on my birthday,,,,
9-27-2014_12:43:41,,,eggs,scrambled,legs,danced around,,,,
9-27-2014_12:45:38,matthew,play video games,bacon,fried,arm,play,,,,
9-27-2014_12:47:10,anna,sleep,cereal,with milk?,my face,eat,,,,
9-27-2014_12:48:43,marjory,eat,bread,with jam,my hair,smile,,,,
9-27-2014_12:50:34,rijia,sleep,cereeal,milk,hands,drink,,,,
9-27-2014_12:52:12,kid,ocean,coffee,buy,brain,drinking,,,,
9-27-2014_12:54:21,Jackson,soccer,oatmeal,boiled,elbow,danced,,,,
9-27-2014_12:56:5,Joyce,looking at the stars,a smoothie,in a blender,eyes,skydiving,,,,
9-27-2014_13:3:18,gabriel,i   don't n,cereal,what do you eat,my hair,biking,,,,
9-27-2014_13:6:19,josie,i am a child,cearel,pour it in a bowl,torso,ripstick,,,,
9-27-2014_13:9:38,hailey,playing ,,,why should oi,,,,,
9-27-2014_13:12:23,Tobias,I still am a child,BAXON!!!!,It fallso from the sky,My left foot,I dunno :(,,,,
9-27-2014_13:14:16,Gigi,Spirit the movie,Cereal,With ,ilk,Brain,Tell someone I love them,,,
9-27-2014_13:16:30,marie,my dog,tea,with hot water,my feet,kissed my husband,,,,
9-27-2014_13:19:28,izzy,transit museum,eggs,my mom does it,bones,bus festival,,,,
9-27-2014_13:21:54,julian,video games,waffles,my parents do it for me,arms,play video games,,,,
9-27-2014_13:24:51,anton,video game,waffle,my mom does it,head,ipad,,,,
9-27-2014_13:27:39,hanne,my ba,waffle\,the oven,head,,,,,
9-27-2014_13:29:58,susan,eating,oatmeal,hot water,stomach,eat,,,,
9-27-2014_13:33:9,ben,games,pancakes,with syrup,heart,jumped,,,,
9-27-2014_13:35:43,haydee,playing,toast,butter,head,laughed,,,,
9-27-2014_13:38:6,susanne,soccer,yoghurt,i buy it,hands,having drinks with my parents,,,,
9-27-2014_13:40:6,raquel,shrimp,oatmeal,in the microwave,arms and shoulders,ate,,,,
9-27-2014_13:41:55,Jessie,ipad,eggs,scrambled,legs,cartwheeled,,,,
9-27-2014_13:45:15,remla,ice cream,pancake,cooking,eyes,cartwheel,,,,
9-27-2014_13:47:14,cy,candy,cereal,just do it,my heart,space out,,,,
9-27-2014_13:49:18,Khadija,drawing,egg,hard boiled,hair,paint :),,,,
9-27-2014_13:51:18,Mariam,dogs,muffins,I don't,hair,went for a walk,,,,
9-27-2014_13:53:12,hudson,music,noodles\,,,l,,,,
9-27-2014_13:55:58,mae,reading,yoghurt and blueberries,yoghurt first,my hair,slept,,,,
9-27-2014_13:57:44,CHAIRIN ,swimming,bread,take it out,hair,watch movies,,,,
9-27-2014_13:59:14,Rati,D,Singing,Cream and cinam,,,,,,
9-27-2014_14:1:46,Ida,dolls,yoghurt and blueberries,carefully,hands,went to a birthday party,,,,
9-27-2014_14:3:47,Lala,going to parties,blueberries and yoghurt,papa does it,hair,my birthday party,,,,
9-27-2014_14:6:2,sachie,singing,bagel,with cream cheese,feet,juped,,,,
9-27-2014_14:8:45,jeanne,drawing,toast,with care,my head,i watched a movie,,,,
9-27-2014_14:10:52,bilbo baggins,living in my hobbit hole,red poop,,cant say in public,i have never been happy,,,,
9-27-2014_14:14:31,Grace,Playing at the park,coffee,black with no sugar,my hands,I saw my family,,,,
9-27-2014_14:16:15,shujie ,playing with my friends,noodles,with my heart,,kiss,,,,
9-27-2014_14:18:46,,staying with my mum,milk,my mum cooked it for me,eys,play with my little bear,,,,
9-27-2014_14:21:9,Yi Zou,dancing,milk,with grains,eyes,drinking,,,,
9-27-2014_14:23:9,jaspn yeh,reading,coffee,buying,brain,drinking,,,,
9-27-2014_14:24:56,Sophie,Totoro,Donuts,With milk,eyes,picnic,,,,
9-27-2014_17:25:46,FERNANDA,ply,cereal,mix cereal and milk,eyes,dance,,,,
9-27-2014_17:27:20,daphne,money,coffee and something,buy it,back dimples,cracked up,,,,
9-27-2014_17:30:22,  rebekah,shows,ceral,milk ,hair,[;aydate,,,,
9-27-2014_17:32:47,hailey,shows,chocolate milk,milk and chocolate,all of it,festival time,,,,
9-27-2014_17:34:45,cassandra,flipping,i don't,i wake up and leave the house,my legs,typed to a writing deer,,,,
9-27-2014_17:36:54,jas,,ta,bake,butt,netflix,,,,
9-27-2014_17:38:49,jahsenda,i am a child,toast and orange juice,i tell my mom to make it,eyes,watch youtube videos,,,,
9-27-2014_17:40:48,sasha,i am 12,eggs and toast,tell my dad,feet,talk or type to a typing deer,,,,
9-27-2014_17:42:39,Cheryl,Travel,Coffee,Starbucks,Mind,Job offer,,,,
9-27-2014_17:44:32,sunny,being childish,something random,buying from stores,collarbone,seeing others talking with you,,,,
